variable;variable_old;item;text;info
gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich?;"{""ImportId"":""QID3""}"
age;age;NA;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID2_TEXT""}"
Bildungsabschluss;Bildungsabschluss;NA;Was ist ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
Wohnort;Wohnort;NA;Was beschreibt ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID6""}"
income;income;NA;Wie hoch ist ihr Bruttojahreseinkommen? (freiwillige Angabe);"{""ImportId"":""QID7""}"
Big5_1;Big5_1;Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;"{""ImportId"":""QID8_8""}"
Big5_2;Big5_2;Ich habe wenig künstlerisches Interesse.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe wenig künstlerisches Interesse.;"{""ImportId"":""QID8_10""}"
NZV_1;NZV_1;Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Bei unbekannten automatisierten Systemen sollte man eher vorsichtig sein;"{""ImportId"":""QID42_1""}"
NZV_2;NZV_2;Ich vertraue einem System eher als dass ich ihm misstraue;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Ich vertraue einem System eher als dass ich ihm misstraue;"{""ImportId"":""QID42_2""}"
NZV_3;NZV_3;Automatisierte Systeme funktionieren generell gut.;Inwiefern stimmen Sie diesen Aussagen zu Technologie und Vertrauen zu? - Automatisierte Systeme funktionieren generell gut.;"{""ImportId"":""QID42_3""}"
ATI_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID9_1""}"
ATI_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID9_2""}"
ATI_3;ATI_3;In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;"{""ImportId"":""QID9_3""}"
ATI_4;ATI_4;Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;"{""ImportId"":""QID9_4""}"
ATI_5;ATI_5;Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;"{""ImportId"":""QID9_5""}"
